edition,year,gender,length,type,round,Rank,Lane,Country,Athlete,Age,RT,Time,Time Behind,Points
16,,w,50,freestyle,final,1,6,AUS,Bronte CAMPBELL,21,0.67,24.12, ,952
16,,w,50,freestyle,final,2,5,NED,Ranomi KROMOWIDJOJO,24,0.69,24.22,0.1,940
16,,w,50,freestyle,final,3,3,SWE,Sarah SJOESTROEM,21,0.65,24.31,0.19,930
16,,w,50,freestyle,final,4,4,AUS,Cate CAMPBELL,23,0.78,24.36,0.24,924
16,,w,50,freestyle,final,5,8,CAN,Chantal VAN LANDEGHEM,21,0.69,24.39,0.27,920
16,,w,50,freestyle,final,6,2,BAH,Arianna VANDERPOOL WALLACE,25,0.6,24.44,0.32,915
16,,w,50,freestyle,final,7,1,GBR,Fran HALSALL,25,0.68,24.51,0.39,907
16,,w,50,freestyle,final,8,7,USA,Simone MANUEL,19,0.68,24.57,0.45,900
16,,w,50,backstoke,final,1,4,CHN,Yuanhui FU,19,0.65,27.11, ,994
16,,w,50,backstoke,final,2,5,BRA,Etiene MEDEIROS,24,0.64,27.26,0.15,978
16,,w,50,backstoke,final,3,6,CHN,Xiang LIU,18,0.63,27.58,0.47,944
16,,w,50,backstoke,final,4,2,AUS,Emily SEEBOHM,23,0.6,27.66,0.55,936
16,,w,50,backstoke,final,5,3,DEN,Mie Oe NIELSEN,18,0.62,27.73,0.62,929
16,,w,50,backstoke,final,6,7,AUS,Madison WILSON,21,0.55,27.92,0.81,910
16,,w,50,backstoke,final,7,1,GBR,Lauren QUIGLEY,20,0.61,27.99,0.88,903
16,,w,50,backstoke,final,8,8,GRE,Theodora DRAKOU,23,0.58,28.17,1.06,886
16,,w,50,breaststroke,final,1,6,SWE,JennieJOHANSSON,27,0.69,30.05, ,944
16,,w,50,breaststroke,final,2,7,JAM,Alia ATKINSON,26,0.64,30.11,0.06,938
16,,w,50,breaststroke,final,3,5,RUS,Yuliya EFIMOVA,23,0.67,30.13,0.08,936
16,,w,50,breaststroke,final,4,4,LTU,Ruta MEILUTYTE,18,0.62,30.14,0.09,935
16,,w,50,breaststroke,final,5,3,USA,Jessica HARDY,28,0.66,30.2,0.15,930
16,,w,50,breaststroke,final,6,8,CHN,Ran SUO,20,0.68,30.74,0.69,882
16,,w,50,breaststroke,final,7,1,ISL,Hrafnhildur LUTHERSDOTTIR,24,0.7,31.12,1.07,850
16,,w,50,breaststroke,final,8,2,UKR,Mariia LIVER,24,0.7,31.14,1.09,848
16,,w,50,butterfly,final,1,4,SWE,Sarah SJOESTROEM,21,0.66,24.96, ,937
16,,w,50,butterfly,final,2,5,DEN,Jeanette OTTESEN,27,0.67,25.34,0.38,896
16,,w,50,butterfly,final,3,6,CHN,Ying LU,26,0.67,25.37,0.41,892
16,,w,50,butterfly,final,4,1,NED,Inge DEKKER,29,0.7,25.64,0.68,865
16,,w,50,butterfly,final,5,7,EGY,Farida OSMAN,20,0.7,25.78,0.82,850
16,,w,50,butterfly,final,6,3,GBR,Fran HALSALL,25,0.67,25.85,0.89,844
16,,w,50,butterfly,final,7,2,BAH,Arianna VANDERPOOL WALLACE,25,0.6,25.93,0.97,836
16,,w,50,butterfly,final,8,8,POL,Anna DOWGIERT,25,0.65,26.2,1.24,810
16,,m,50,freestyle,final,1,5,FRA,Florent MANAUDOU,24,0.62,21.19, ,960
16,,m,50,freestyle,final,2,4,USA,Nathan ADRIAN,26,0.67,21.52,0.33,917
16,,m,50,freestyle,final,3,3,BRA,Bruno FRATUS,26,0.69,21.55,0.36,913
16,,m,50,freestyle,final,4,8,RUS,Vladimir MOROZOV,23,0.59,21.56,0.37,912
16,,m,50,freestyle,final,5,1,UKR,Andrii GOVOROV,23,0.63,21.86,0.67,875
16,,m,50,freestyle,final,5,6,ITA,Marco ORSI,24,0.61,21.86,0.67,875
16,,m,50,freestyle,final,7,7,GRE,Kristian GKOLOMEEV,22,0.69,21.98,0.79,860
16,,m,50,freestyle,final,8,2,GBR,Benjamin PROUD,20,0.65,22.04,0.85,853
16,,m,50,backstoke,final,1,4,FRA,Camille LACOURT,30,0.68,24.23, ,976
16,,m,50,backstoke,final,2,5,USA,Matt GREVERS,30,0.7,24.61,0.38,932
16,,m,50,backstoke,final,3,3,AUS,Ben TREFFERS,23,0.53,24.69,0.46,923
